unique_id,repo_name,path,effective_code_length,loop_count,computation_count,execution_time_cycles,instruction_count,cpi,I1mr,ILmr,Dr,Dw,D1mr,D1mw,DLmr,DLmw,cpu_fre,execution_time,total_memory,instruction_cache_miss_rate,data_cache_miss_rate,code
270-32575,doc-cloud/c,sc/signal/sigaction.c,21,1,3,9012617125.52514,177095.0,50891.42621192016,1319.0,1299.0,40346.0,13806.0,1638.0,640.0,1359.0,593.0,1500000000,6.00841141701676,1082014363648.0,0.0147830260594596,0.078113458413355,"#include<stdio.h>
#include<unistd.h>
#include<signal.h>

void timeout(int sig)
{
	if (sig == SIGALRM)
		puts(""Time out!"");
	alarm(2);
}

int main(int argc, char *argv[])
{
	int i;
	struct sigaction sig_act;

	sig_act.sa_handler = timeout;
	sigemptyset(&sig_act.sa_mask);
	sig_act.sa_flags = 0;

	sigaction(SIGALRM, &sig_act, 0);
	alarm(2);

	for (i = 0; i < 3; i++) {
		puts(""waiting...."");
		sleep(600);
	}
	return 0;
}
"
143-34617,doc-cloud/c,sc/signal/signal.c,23,1,4,9001730242.394842,175651.0,51247.81664778453,1325.0,1304.0,39948.0,13680.0,1625.0,637.0,1345.0,593.0,1500000000,6.001153494929895,1082014363648.0,0.0149671792360988,0.0783172969344372,"#include<stdio.h>
#include<unistd.h>
#include<signal.h>

void timeout(int sig)
{
	if (sig == SIGALRM)
		puts(""Time out!"");
	alarm(2);
}

void keycontrol(int sig)
{
	if (sig == SIGINT)
		puts(""CTRL + C pressed."");
}

int main(int argc, char *argv[])
{
	int i;
	signal(SIGALRM, timeout);
	signal(SIGINT, keycontrol);
	alarm(2);

	for (i = 0; i < 3; i++) {
		puts(""waiting...."");
		sleep(600);
	}
	return 0;
}
"
309-12247,joselisboa/dominoes,tests/time.c,14,1,1,7516930240.555666,178212.0,42179.70866159406,1420.0,1397.0,40560.0,13953.0,1651.0,640.0,1367.0,596.0,1500000000,5.011286827037111,1082014363648.0,0.0158070163625345,0.0780364316768477,"#include <stdio.h>
#include <time.h>

int main ()
{
   time_t start_t, end_t;
   double diff_t;

   printf(""Starting of the program...\n"");
   time(&start_t);

   printf(""Sleeping for 5 seconds...\n"");
   sleep(5);

   time(&end_t);
   diff_t = difftime(end_t, start_t);

   printf(""Execution time = %f\n"", diff_t);
   printf(""Exiting of the program...\n"");

   return(0);
}"
112-2598,weiqiangdragonite/blog_tmp,unix_linux/Linux_network/tcp_ip_book/ch10_process/sigaction.c,23,1,3,9002083747.414871,177116.0,50825.92056618261,1320.0,1300.0,40349.0,13809.0,1638.0,640.0,1359.0,593.0,1500000000,6.001389164943248,1082014363648.0,0.0147925653244201,0.0781048044610214,"
#include <stdio.h>
#include <unistd.h>
#include <stdlib.h>
#include <signal.h>

void
timeout(int sig)
{
	if (sig == SIGALRM)
		printf(""Time out!\n"");
	alarm(2);
}


int
main(int argc, char *argv[])
{
	int i;
	struct sigaction action;

	action.sa_handler = timeout;
	sigemptyset(&action.sa_mask);
	action.sa_flags = 0;

	sigaction(SIGALRM, &action, 0);

	alarm(2);

	for (i = 0; i < 3; ++i) {
		printf(""wait...\n"");
		sleep(100);
	}

	return 0;
}




"
244-1795,wcnnbdk1/hello_world,CLearning/understandC_ja/m_chap02/return.c,20,1,4,6109878823.393956,212634434.0,28.73419280246961,1326.0,1307.0,50030286.0,12511269.0,1640.0,636.0,1353.0,593.0,1500000000,4.073252548929304,1082014363648.0,1.2382754526014352e-05,6.750711586880116e-05,"#include <stdio.h>
#include <time.h>

int sleep(unsigned long x)
{
    clock_t c1 = clock(), c2;
    do {
        if ((c2 = clock()) == (clock_t)-1)
            return 0;
    } while (1000.0 * (c2 - c1) / CLOCKS_PER_SEC < x);
    return 1;
}
int main(void)
{
    printf(""My name is BohYoh."");
    fflush(stdout);

    sleep(2000);
    printf(""\rHow do you do ?   "");
    fflush(stdout);

    sleep(2000);
    printf(""\rThanks.            \n"");

    return 0;
}
"
275-33407,jnuyens/linux-c-programming,1_4_basics/break1.c,16,1,3,9798629737.459124,183073.0,53523.07405788948,1356.0,1329.0,41373.0,14720.0,1630.0,636.0,1350.0,593.0,1500000000,6.532419824972749,1082014363648.0,0.0146662806639974,0.0750361007612358,"#include <stdio.h>
#include <time.h>

int main(void)
{ 
	struct timespec tim;
   	tim.tv_sec = 0;
   	tim.tv_nsec = 500000000L;	
	int i = 0;    
	while ( i < 20 ) { 
		if (i == 13) {
                        break ;
                }
		printf( ""%d\n"", i );
		i++;            
		nanosleep(&tim , NULL);
	}
	return 0;
}

"
036-32323,jnuyens/linux-c-programming,1_4_basics/continue.c,16,1,3,14270127550.698816,187323.0,76179.26015491958,1350.0,1323.0,42258.0,15352.0,1630.0,637.0,1350.0,594.0,1500000000,9.513418367132545,1082014363648.0,0.0142694703800387,0.0730949487936122,"#include <stdio.h>
#include <time.h>

int main(void)
{ 
	struct timespec tim;
   	tim.tv_sec = 0;
   	tim.tv_nsec = 500000000L;	
	int i = 0;    
	while ( i < 20 ) { 
		i++;
		if (i == 13) {
                        continue ;
                }
		printf( ""%d\n"", i );
		nanosleep(&tim , NULL);
	}
	return 0;
}

"
161-26401,yusyaif/grader-library,src/bashcode/Sandbox/testsuite/config/pthread.c,33,2,7,7515145634.883083,190292.0,39492.70402329052,1550.0,1518.0,43463.0,15613.0,1671.0,674.0,1379.0,631.0,1500000000,5.010097089922056,1082014363648.0,0.016122590545057,0.073718599769788,"#include <stdio.h>
#include <pthread.h>
#include <unistd.h>

pthread_mutex_t mutex = PTHREAD_MUTEX_INITIALIZER;
pthread_cond_t cond = PTHREAD_COND_INITIALIZER;
int cntdwn = 5;

void * thread_a(void * dummy)
{
    pthread_mutex_lock(&mutex);
    while (cntdwn)
    {
        pthread_cond_wait(&cond, &mutex);
        printf(""thread: %d\n"", cntdwn);
    }
    pthread_mutex_unlock(&mutex);
    return dummy;
}

int main(void)
{
    pthread_t tid;
    pthread_create(&tid, NULL, &thread_a, NULL);
    void * ret = NULL;
    pthread_mutex_lock(&mutex);
    while (cntdwn > 0)
    {
        --cntdwn;
        printf(""main: %d\n"", cntdwn);
        pthread_cond_broadcast(&cond);
        pthread_mutex_unlock(&mutex);
        sleep(1);
        pthread_mutex_lock(&mutex);
    }
    pthread_mutex_unlock(&mutex);
    pthread_join(tid, &ret);
    return 0;
}

"
120-15013,cxsjabc/basic,c/_topics/printf/test_stdout_size.c,14,1,3,19502646746.928802,394255.0,49467.0879151818,1277.0,1261.0,133457.0,54294.0,1607.0,699.0,1335.0,656.0,1500000000,13.001764497952536,1082014363648.0,0.0064374579903869,0.0228866956767207,"#include <stdio.h>
#include <unistd.h>
#include <fcntl.h>

void test_stdout_buf_size()
{
	int i;

	for(i = 0; i < 4096; ++i)
		printf(""a"");

	sleep(3);
	printf(""b"");
	sleep(10);
}

int main(int argc, char *argv[])
{
	test_stdout_buf_size();

	return 0;
}
"
228-33163,dariaphoebe/maybe-hugs,c/maybe_hug.c,29,2,7,13502880655.461922,175332.0,77013.21296169552,1343.0,1323.0,39806.0,13646.0,1629.0,636.0,1349.0,593.0,1500000000,9.001920436974615,1082014363648.0,0.0152054388246298,0.0787061288632792,"#include <stdio.h>
#include <unistd.h>

//Define the person to test with
#define NAME         ""Amber""
#define ISCUTIE      1
#define LIKESCONTACT 1

typedef struct {
	char  *name;
	short likesPhysicalContact;
	short isCutie;
} human;

void executeHug(human person) {
	printf(""%s accepted your offer!\n"",person.name);
	sleep(3);
	puts(""*hugs*"");
	sleep(3);
	printf(""You Hugged %s! :^)\n"",person.name);
}

void offerHug(human person) {
	puts(""You asked for a hug."");
	sleep(3);
	if (person.likesPhysicalContact)
		executeHug(person);
	else
		puts(""They'd rather not, thanks for being considerate."");
}

int main() {
	human person = {NAME,LIKESCONTACT,ISCUTIE};
	if (person.isCutie)
		offerHug(person);
	else
		puts(""They're not as cute as you first thought..."");
	return 0;
}
"
